PEP00PI8040,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-414B EXPANSION,Issue Of Requisition For Inquiry,0.00000705,705,2/8/2019 8:00:00 AM,2/12/2019 5:00:00 PM,,,,,,
PEP00PI8060,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-414B EXPANSION,Bid Received,0.00000705,705,2/13/2019 8:00:00 AM,2/19/2019 5:00:00 PM,,,,,,
PEP00PI8080,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-414B EXPANSION,Bid Evaluation & TQ,0,0,3/6/2019 8:00:00 AM,3/19/2019 5:00:00 PM,,,,,,
PEP00PI8100,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-414B EXPANSION,TBA,0.0000047,470,3/20/2019 8:00:00 AM,3/26/2019 5:00:00 PM,,,,,,
PEP00PI8220,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-414B EXPANSION,Vendor Doc. Checking,0,0,4/12/2019 8:00:00 AM,4/25/2019 5:00:00 PM,,,,,,
PEP00PI8120,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-414B EXPANSION,Vendor Selection,0.00000235,235,3/27/2019 8:00:00 AM,3/28/2019 5:00:00 PM,,,,,,
PEP00PI8160,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-414B EXPANSION,Effecting Of Contract,0.0000188,1880,4/5/2019 8:00:00 AM,4/11/2019 5:00:00 PM,,,,,,
PEP00PI8180,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-414B EXPANSION,"Engineering , Manufacturing & Delivery",0.00018095,18095,4/12/2019 8:00:00 AM,6/19/2019 5:00:00 PM,,,,,,
PEP00PI8140,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-414B EXPANSION,P.O,0.0000141,1410,3/29/2019 8:00:00 AM,4/4/2019 5:00:00 PM,,,,,,
PEP00PI4740,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-418A HYDRANT,Issue Of Requisition For Inquiry,0.0000002,20,9/6/2019 8:00:00 AM,9/9/2019 5:00:00 PM,,,,,,
PEP00PI4760,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-418A HYDRANT,Bid Received,0.0000002,20,9/10/2019 8:00:00 AM,9/16/2019 5:00:00 PM,,,,,,
PEP00PI4780,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-418A HYDRANT,Bid Evaluation & TQ,0,0,10/1/2019 8:00:00 AM,10/9/2019 5:00:00 PM,,,,,,
PEP00PI4800,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-418A HYDRANT,TBA,0.00000012,12,10/10/2019 8:00:00 AM,10/16/2019 5:00:00 PM,,,,,,
PEP00PI4920,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-418A HYDRANT,Vendor Doc. Checking,0,0,11/4/2019 8:00:00 AM,11/15/2019 5:00:00 PM,,,,,,
PEP00PI4820,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-418A HYDRANT,Vendor Selection,0.00000008,8,10/17/2019 8:00:00 AM,10/18/2019 5:00:00 PM,,,,,,
PEP00PI4860,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-418A HYDRANT,Effecting Of Contract,0.0000004,40,10/28/2019 8:00:00 AM,11/1/2019 5:00:00 PM,,,,,,
PEP00PI4880,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-418A HYDRANT,"Engineering , Manufacturing & Delivery",0.0000037,370,11/4/2019 8:00:00 AM,1/23/2020 2:00:00 PM,,,,,,
PEP00PI4840,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-418A HYDRANT,P.O,0.0000003,30,10/21/2019 8:00:00 AM,10/25/2019 5:00:00 PM,,,,,,
PEP00PI8700,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-417B SAMPLE COOL,Issue Of Requisition For Inquiry,0.0000002,20,10/18/2019 8:00:00 AM,10/21/2019 5:00:00 PM,,,,,,
PEP00PI8720,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-417B SAMPLE COOL,Bid Received,0.0000002,20,10/22/2019 8:00:00 AM,10/28/2019 5:00:00 PM,,,,,,
PEP00PI8740,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-417B SAMPLE COOL,Bid Evaluation & TQ,0,0,11/12/2019 8:00:00 AM,11/18/2019 5:00:00 PM,,,,,,
PEP00PI8760,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-417B SAMPLE COOL,TBA,0.00000012,12,11/19/2019 8:00:00 AM,11/26/2019 5:00:00 PM,,,,,,
PEP00PI8880,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-417B SAMPLE COOL,Vendor Doc. Checking,0,0,12/20/2019 8:00:00 AM,1/9/2020 5:00:00 PM,,,,,,
PEP00PI8780,Not Started,1204-Project-13.Main Contract.Procurement Services.Piping.REQ-417B SAMPLE COOL,Vendor Selection,0.00000008,8,11/27/2019 8:00:00 AM,11/28/2019 5:00:00 PM,,,,,,
